timestamp,agent.name,rule.description,rule.level,rule.id
"Mar 26, 2026 @ 17:56:04.166",Fridge.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 17:53:22.657",Fridge.local,Screen locked with userID:.,3,89603
"Mar 26, 2026 @ 17:51:30.499",ip-10-20-135-160.ec2.internal,Azure Security Posture: Container images in Azure registry should have vulnerability findings resolved.,10,100200
"Mar 26, 2026 @ 17:51:30.498",ip-10-20-135-160.ec2.internal,Azure Security Posture: Azure registry container images should have vulnerabilities resolved.,10,100200
"Mar 26, 2026 @ 17:50:04.364",Fridge.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 17:44:04.212",Fridge.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 17:41:28.379",ip-10-20-135-160.ec2.internal,Azure Security Posture: Container images in Azure registry should have vulnerability findings resolved.,10,100200
"Mar 26, 2026 @ 17:41:28.379",ip-10-20-135-160.ec2.internal,Azure Security Posture: Azure registry container images should have vulnerabilities resolved.,10,100200
"Mar 26, 2026 @ 17:41:28.379",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update busybox.,10,100200
"Mar 26, 2026 @ 17:41:28.377",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update fast-xml-parser.,10,100200
"Mar 26, 2026 @ 17:41:28.376",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update file-type.,10,100200
"Mar 26, 2026 @ 17:41:28.376",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update minimatch.,10,100200
"Mar 26, 2026 @ 17:41:28.375",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update brace-expansion.,10,100200
"Mar 26, 2026 @ 17:41:28.375",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update body-parser.,10,100200
"Mar 26, 2026 @ 17:41:28.374",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update js-yaml.,10,100200
"Mar 26, 2026 @ 17:41:28.373",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update ajv.,10,100200
"Mar 26, 2026 @ 17:41:28.373",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update flatted.,10,100200
"Mar 26, 2026 @ 17:41:28.372",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tar.,10,100200
"Mar 26, 2026 @ 17:41:28.372",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update cross-spawn.,10,100200
"Mar 26, 2026 @ 17:41:28.370",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update glob.,10,100200
"Mar 26, 2026 @ 17:41:28.370",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update multer.,10,100200
"Mar 26, 2026 @ 17:41:28.369",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update qs.,10,100200
"Mar 26, 2026 @ 17:41:28.369",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tmp.,10,100200
"Mar 26, 2026 @ 17:41:28.369",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update fast-xml-parser.,10,100200
"Mar 26, 2026 @ 17:41:28.368",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tar.,10,100200
