agent.name,package.name,package.version,vulnerability.description,vulnerability.severity,vulnerability.id
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Improper authentication in Windows SMB Server allows an authorized attacker to elevate privileges locally.,High,CVE-2026-26128
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Untrusted search path in Windows GDI allows an unauthorized attacker to execute code locally.,High,CVE-2026-25190
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Exposure of sensitive information to an unauthorized actor in Windows Accessibility Infrastructure (ATBroker.exe) allows an authorized attacker to disclose information locally.,Medium,CVE-2026-25186
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Exposure of sensitive information to an unauthorized actor in Windows Shell Link Processing allows an unauthorized attacker to perform spoofing over a network.,Medium,CVE-2026-25185
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Out-of-bounds read in Windows GDI+ allows an unauthorized attacker to disclose information over a network.,High,CVE-2026-25181
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Out-of-bounds read in Microsoft Graphics Component allows an unauthorized attacker to disclose information locally.,Medium,CVE-2026-25180
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Improper access control in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,High,CVE-2026-25176
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Out-of-bounds read in Windows Extensible File Allocation allows an authorized attacker to elevate privileges locally.,High,CVE-2026-25174
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Null pointer dereference in Microsoft Graphics Component allows an unauthorized attacker to deny service locally.,Medium,CVE-2026-25168
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Deserialization of untrusted data in Windows System Image Manager allows an authorized attacker to execute code locally.,High,CVE-2026-25166
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Kerberos allows an unauthorized attacker to bypass a security feature over a network.,Medium,CVE-2026-24297
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Device Association Service allows an authorized attacker to elevate privileges locally.,High,CVE-2026-24296
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Device Association Service allows an authorized attacker to elevate privileges locally.,High,CVE-2026-24295
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Improper authentication in Windows SMB Server allows an authorized attacker to elevate privileges locally.,High,CVE-2026-24294
DESKTOP-CQQ4THI,Microsoft Windows 10 Pro 10.0.19045.6456,10.0.19045.6456,Incorrect permission assignment for critical resource in Windows Accessibility Infrastructure (ATBroker.exe) allows an authorized attacker to elevate privileges locally.,High,CVE-2026-24291
